Path,Latency (s),Noise Power (W),SNR (dB)
C->E->F->D->B->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->F->B->D->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->D->F->B->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->D->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->D->B->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->D->A,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->A->D->E->F->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->D->A->B,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->D->E->F->B,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->E->D->F->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->F->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->F->D->A->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->A->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->D->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->E->D->A->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->A->D->F->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->E->F->D->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->D->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->D->F->B,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->D->B,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->E->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->F->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->F->B->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->A->B->F->D,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->B->D,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->D,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->A->D,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->B->F->E->D,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->E->F->B->A->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->D->E,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->A->B->D->F->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->B->F->D->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->D->A->B->F->E,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->A->B->F->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->B->D->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->D->B->F->E,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->D->F->E,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->A->D->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->D->F->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->D->B->F->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->B->D->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->B->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->A->D->B->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->D->E->F,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->A->D->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->D->B->F,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->A->B->D->E->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->D->A->B->F,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->E->D->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->E->D->B->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->D->F,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->E->D->A->B->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->A->D->E->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->E->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
D->C->A,0.0018027756377319946,360.5551275463989,-55.56971676153418
D->B->A,0.00206155281280883,412.31056256176606,-56.15224460689137
D->B->F->E->C->A,0.00206155281280883,412.31056256176606,-56.15224460689137
D->E->C->A,0.001903943276465977,380.7886552931954,-55.80684001117487
D->F->B->A,0.0019525624189766636,390.51248379533274,-55.91634921841403
D->A,0.001903943276465977,380.7886552931954,-55.80684001117487
D->F->E->C->A,0.0019525624189766636,390.51248379533274,-55.91634921841403
D->C->E->F->B->A,0.0018027756377319946,360.5551275463989,-55.56971676153418
D->E->F->B->A,0.001903943276465977,380.7886552931954,-55.80684001117487
D->E->F->B,0.001903943276465977,380.7886552931954,-55.80684001117487
D->C->E->F->B,0.0018027756377319946,360.5551275463989,-55.56971676153418
D->E->C->A->B,0.001903943276465977,380.7886552931954,-55.80684001117487
D->A->C->E->F->B,0.001903943276465977,380.7886552931954,-55.80684001117487
D->F->B,0.0019525624189766636,390.51248379533274,-55.91634921841403
D->B,0.00206155281280883,412.31056256176606,-56.15224460689137
D->C->A->B,0.0018027756377319946,360.5551275463989,-55.56971676153418
D->F->E->C->A->B,0.0019525624189766636,390.51248379533274,-55.91634921841403
D->A->B,0.001903943276465977,380.7886552931954,-55.80684001117487
D->A->C,0.001903943276465977,380.7886552931954,-55.80684001117487
D->F->B->A->C,0.0019525624189766636,390.51248379533274,-55.91634921841403
D->B->A->C,0.00206155281280883,412.31056256176606,-56.15224460689137
D->B->F->E->C,0.00206155281280883,412.31056256176606,-56.15224460689137
D->E->C,0.001903943276465977,380.7886552931954,-55.80684001117487
D->F->E->C,0.0019525624189766636,390.51248379533274,-55.91634921841403
D->E->F->B->A->C,0.001903943276465977,380.7886552931954,-55.80684001117487
D->A->B->F->E->C,0.001903943276465977,380.7886552931954,-55.80684001117487
D->C,0.0018027756377319946,360.5551275463989,-55.56971676153418
D->A->C->E,0.001903943276465977,380.7886552931954,-55.80684001117487
D->C->E,0.0018027756377319946,360.5551275463989,-55.56971676153418
D->A->B->F->E,0.001903943276465977,380.7886552931954,-55.80684001117487
D->C->A->B->F->E,0.0018027756377319946,360.5551275463989,-55.56971676153418
D->F->B->A->C->E,0.0019525624189766636,390.51248379533274,-55.91634921841403
D->F->E,0.0019525624189766636,390.51248379533274,-55.91634921841403
D->E,0.001903943276465977,380.7886552931954,-55.80684001117487
D->B->F->E,0.00206155281280883,412.31056256176606,-56.15224460689137
D->B->A->C->E,0.00206155281280883,412.31056256176606,-56.15224460689137
D->A->B->F,0.001903943276465977,380.7886552931954,-55.80684001117487
D->B->F,0.00206155281280883,412.31056256176606,-56.15224460689137
D->A->C->E->F,0.001903943276465977,380.7886552931954,-55.80684001117487
D->B->A->C->E->F,0.00206155281280883,412.31056256176606,-56.15224460689137
D->F,0.0019525624189766636,390.51248379533274,-55.91634921841403
D->C->A->B->F,0.0018027756377319946,360.5551275463989,-55.56971676153418
D->C->E->F,0.0018027756377319946,360.5551275463989,-55.56971676153418
D->E->C->A->B->F,0.001903943276465977,380.7886552931954,-55.80684001117487
D->E->F,0.001903943276465977,380.7886552931954,-55.80684001117487
E->C->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->C->D->B->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->F->D->C->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->D->C->A,0.001903943276465977,380.7886552931954,-55.80684001117487
E->D->B->A,0.001903943276465977,380.7886552931954,-55.80684001117487
E->D->F->B->A,0.001903943276465977,380.7886552931954,-55.80684001117487
E->D->A,0.001903943276465977,380.7886552931954,-55.80684001117487
E->C->D->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->F->B->D->C->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->D->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->C->D->F->B->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->F->B->D->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->B->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->D->B->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->D->C->A->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->C->D->A->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->F->D->A->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->D->F->B,0.001903943276465977,380.7886552931954,-55.80684001117487
E->C->A->D->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->D->B,0.001903943276465977,380.7886552931954,-55.80684001117487
E->C->D->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->C->D->F->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->F->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->D->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->D->A->B,0.001903943276465977,380.7886552931954,-55.80684001117487
E->D->C->A->B,0.001903943276465977,380.7886552931954,-55.80684001117487
E->C->A->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->C->A->D->F->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->D->A->C,0.001903943276465977,380.7886552931954,-55.80684001117487
E->F->D->B->A->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->B->A->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->D->B->A->C,0.001903943276465977,380.7886552931954,-55.80684001117487
E->F->B->D->A->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->D->F->B->A->C,0.001903943276465977,380.7886552931954,-55.80684001117487
E->F->B->A->D->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->D->C,0.001903943276465977,380.7886552931954,-55.80684001117487
E->F->D->A->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->D->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->B->D->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->D,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->C->A->B->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->C->A->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->C->A->B->F->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->F->B->D,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->B->A->C->D,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->F->B->A->D,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->C->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->D,0.001903943276465977,380.7886552931954,-55.80684001117487
E->C->A->D->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->D->C->A->B->F,0.001903943276465977,380.7886552931954,-55.80684001117487
E->C->D->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->C->A->B->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->C->A->B->D->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->D->F,0.001903943276465977,380.7886552931954,-55.80684001117487
E->C->A->D->B->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->C->D->A->B->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->D->A->B->F,0.001903943276465977,380.7886552931954,-55.80684001117487
E->C->D->B->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
E->F,0.0030923292192132456,618.4658438426492,-57.913157197448186
E->D->B->F,0.001903943276465977,380.7886552931954,-55.80684001117487
F->D->C->A,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->E->C->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->D->C->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->D->B->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->D->E->C->A,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->E->C->D->B->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->D->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->B->A,0.002136000936329383,427.2001872658766,-56.30631434396247
F->B->D->E->C->A,0.002136000936329383,427.2001872658766,-56.30631434396247
F->D->A,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->E->C->D->A,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->B->D->C->A,0.002136000936329383,427.2001872658766,-56.30631434396247
F->B->D->A,0.002136000936329383,427.2001872658766,-56.30631434396247
F->D->B->A,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->D->C->A->B,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->E->C->A->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->D->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->D->A->B,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->B,0.002136000936329383,427.2001872658766,-56.30631434396247
F->D->B,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->E->C->D->A->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->D->A->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->D->E->C->A->B,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->E->C->A->D->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->C->D->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->D->C->A->B,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->B->A->D->C,0.002136000936329383,427.2001872658766,-56.30631434396247
F->D->E->C,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->B->D->C,0.002136000936329383,427.2001872658766,-56.30631434396247
F->E->D->A->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->B->A->D->E->C,0.002136000936329383,427.2001872658766,-56.30631434396247
F->D->B->A->C,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->B->A->C,0.002136000936329383,427.2001872658766,-56.30631434396247
F->E->D->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->B->D->A->C,0.002136000936329383,427.2001872658766,-56.30631434396247
F->E->D->B->A->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->C,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->D->A->C,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->D->C,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->B->D->E->C,0.002136000936329383,427.2001872658766,-56.30631434396247
F->B->A->C->E->D,0.002136000936329383,427.2001872658766,-56.30631434396247
F->B->A->D,0.002136000936329383,427.2001872658766,-56.30631434396247
F->E->D,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->B->D,0.002136000936329383,427.2001872658766,-56.30631434396247
F->B->A->C->D,0.002136000936329383,427.2001872658766,-56.30631434396247
F->D,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->E->C->A->B->D,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->C->D,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->E->C->A->D,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->D->C->E,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->B->A->D->C->E,0.002136000936329383,427.2001872658766,-56.30631434396247
F->D->A->C->E,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->D->B->A->C->E,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->B->A->C->E,0.002136000936329383,427.2001872658766,-56.30631434396247
F->B->D->A->C->E,0.002136000936329383,427.2001872658766,-56.30631434396247
F->E,0.0030923292192132456,618.4658438426492,-57.913157197448186
F->D->E,0.0019525624189766636,390.51248379533274,-55.91634921841403
F->B->A->C->D->E,0.002136000936329383,427.2001872658766,-56.30631434396247
F->B->D->C->E,0.002136000936329383,427.2001872658766,-56.30631434396247
F->B->A->D->E,0.002136000936329383,427.2001872658766,-56.30631434396247
F->B->D->E,0.002136000936329383,427.2001872658766,-56.30631434396247
